size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
5000,chaining,insert,1,43,0.000051868,0,"load_factor=0.7001;collisions=1099;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
5000,open_addressing,insert,1,43,0.000082097,0,"load_factor=0.7001;total_probes=10546;max_cluster=60","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
5000,chaining,insert,2,44,0.000053274,0,"load_factor=0.7001;collisions=1118;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
5000,open_addressing,insert,2,44,0.000084190,0,"load_factor=0.7001;total_probes=10655;max_cluster=71","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
5000,chaining,insert,3,45,0.000052429,0,"load_factor=0.7001;collisions=1115;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
5000,open_addressing,insert,3,45,0.000083799,0,"load_factor=0.7001;total_probes=10841;max_cluster=59","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
5000,chaining,insert,4,46,0.000053087,0,"load_factor=0.7001;collisions=1089;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
5000,open_addressing,insert,4,46,0.000084660,0,"load_factor=0.7001;total_probes=10541;max_cluster=91","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
6000,chaining,insert,0,42,0.000069697,0,"load_factor=0.7000;collisions=1343;max_chain=7","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
6000,open_addressing,insert,0,42,0.000104604,0,"load_factor=0.7000;total_probes=13852;max_cluster=98","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
6000,chaining,insert,1,43,0.000063435,0,"load_factor=0.7000;collisions=1356;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
6000,open_addressing,insert,1,43,0.000102432,0,"load_factor=0.7000;total_probes=12541;max_cluster=66","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
6000,chaining,insert,2,44,0.000063692,0,"load_factor=0.7000;collisions=1343;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
6000,open_addressing,insert,2,44,0.000106028,0,"load_factor=0.7000;total_probes=12843;max_cluster=89","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
6000,chaining,insert,3,45,0.000066359,0,"load_factor=0.7000;collisions=1348;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
6000,open_addressing,insert,3,45,0.000105966,0,"load_factor=0.7000;total_probes=12897;max_cluster=70","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
6000,chaining,insert,4,46,0.000069324,0,"load_factor=0.7000;collisions=1338;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
6000,open_addressing,insert,4,46,0.000106039,0,"load_factor=0.7000;total_probes=12946;max_cluster=71","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
7000,chaining,insert,0,42,0.000077700,0,"load_factor=0.7000;collisions=1530;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
7000,open_addressing,insert,0,42,0.000124243,0,"load_factor=0.7000;total_probes=15944;max_cluster=103","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
7000,chaining,insert,1,43,0.000078545,0,"load_factor=0.7000;collisions=1550;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
7000,open_addressing,insert,1,43,0.000126255,0,"load_factor=0.7000;total_probes=14846;max_cluster=89","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
