size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
30000,linear_probing,insert,0,42,0.000511767,64425,"load_factor=0.7000;probes=64425;avg_probes=2.15;max_cluster=94","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
30000,double_hashing,insert,0,42,0.000649502,52004,"load_factor=0.7000;probes=52004;avg_probes=1.73;max_cluster=29","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
30000,linear_probing,insert,1,43,0.000525571,63850,"load_factor=0.7000;probes=63850;avg_probes=2.13;max_cluster=103","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
30000,double_hashing,insert,1,43,0.000621339,51570,"load_factor=0.7000;probes=51570;avg_probes=1.72;max_cluster=26","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
30000,linear_probing,insert,2,44,0.000531235,64748,"load_factor=0.7000;probes=64748;avg_probes=2.16;max_cluster=128","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
30000,double_hashing,insert,2,44,0.000661491,52453,"load_factor=0.7000;probes=52453;avg_probes=1.75;max_cluster=25","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
30000,linear_probing,insert,3,45,0.000539773,66616,"load_factor=0.7000;probes=66616;avg_probes=2.22;max_cluster=105","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
30000,double_hashing,insert,3,45,0.000635814,52381,"load_factor=0.7000;probes=52381;avg_probes=1.75;max_cluster=25","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
30000,linear_probing,insert,4,46,0.000528804,65998,"load_factor=0.7000;probes=65998;avg_probes=2.20;max_cluster=90","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
30000,double_hashing,insert,4,46,0.000639451,52536,"load_factor=0.7000;probes=52536;avg_probes=1.75;max_cluster=26","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
40000,linear_probing,insert,0,42,0.000765001,86252,"load_factor=0.7000;probes=86252;avg_probes=2.16;max_cluster=99","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
40000,double_hashing,insert,0,42,0.000962003,126272,"load_factor=0.7000;probes=126272;avg_probes=1.73;max_cluster=31","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
40000,linear_probing,insert,1,43,0.000815548,87848,"load_factor=0.7000;probes=87848;avg_probes=2.20;max_cluster=89","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
40000,double_hashing,insert,1,43,0.000842863,69324,"load_factor=0.7000;probes=69324;avg_probes=1.73;max_cluster=27","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
40000,linear_probing,insert,2,44,0.000785023,87973,"load_factor=0.7000;probes=87973;avg_probes=2.20;max_cluster=113","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
40000,double_hashing,insert,2,44,0.000833205,69521,"load_factor=0.7000;probes=69521;avg_probes=1.74;max_cluster=31","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
40000,linear_probing,insert,3,45,0.000720765,87324,"load_factor=0.7000;probes=87324;avg_probes=2.18;max_cluster=136","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
40000,double_hashing,insert,3,45,0.000845775,69428,"load_factor=0.7000;probes=69428;avg_probes=1.74;max_cluster=35","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
40000,linear_probing,insert,4,46,0.000741927,86804,"load_factor=0.7000;probes=86804;avg_probes=2.17;max_cluster=88","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
40000,double_hashing,insert,4,46,0.000969776,126458,"load_factor=0.7000;probes=126458;avg_probes=1.73;max_cluster=33","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
50000,linear_probing,insert,0,42,0.000906347,106844,"load_factor=0.7000;probes=106844;avg_probes=2.14;max_cluster=80","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
50000,double_hashing,insert,0,42,0.001058398,86636,"load_factor=0.7000;probes=86636;avg_probes=1.73;max_cluster=31","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
50000,linear_probing,insert,1,43,0.000958919,109201,"load_factor=0.7000;probes=109201;avg_probes=2.18;max_cluster=95","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
50000,double_hashing,insert,1,43,0.001057415,87065,"load_factor=0.7000;probes=87065;avg_probes=1.74;max_cluster=26","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
50000,linear_probing,insert,2,44,0.000964418,110309,"load_factor=0.7000;probes=110309;avg_probes=2.21;max_cluster=144","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
50000,double_hashing,insert,2,44,0.001093517,87761,"load_factor=0.7000;probes=87761;avg_probes=1.76;max_cluster=28","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
50000,linear_probing,insert,3,45,0.001001292,108216,"load_factor=0.7000;probes=108216;avg_probes=2.16;max_cluster=118","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
50000,double_hashing,insert,3,45,0.001113198,86793,"load_factor=0.7000;probes=86793;avg_probes=1.74;max_cluster=36","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:55:23"
