size,algorithm,input_pattern,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
1000,merge_sort,random,2,44,0.00003860,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,merge_sort,random,0,42,0.00012316,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,merge_sort,random,1,43,0.00011912,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
2500,merge_sort,random,2,44,0.00010640,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,merge_sort,random,0,42,0.00023501,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,merge_sort,random,1,43,0.00022773,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
5000,merge_sort,random,2,44,0.00022781,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,merge_sort,random,0,42,0.00063516,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,merge_sort,random,1,43,0.00042545,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
7500,merge_sort,random,2,44,0.00042339,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,merge_sort,random,0,42,0.00053191,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,merge_sort,random,1,43,0.00058049,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
10000,merge_sort,random,2,44,0.00053741,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:05","INOVAI-NB-8"
