size,algorithm,run_index,seed,time_s,cutoff,block_size,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
32,blocked,1,43,0.00001040,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
32,blocked,2,44,0.00001036,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
64,blocked,0,42,0.00011035,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
64,blocked,1,43,0.00010975,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
64,blocked,2,44,0.00012279,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
128,blocked,0,42,0.00099222,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
128,blocked,1,43,0.00096711,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
128,blocked,2,44,0.00087242,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
256,blocked,0,42,0.01033768,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
256,blocked,1,43,0.01023877,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
256,blocked,2,44,0.01010651,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
2,blocked_opt,0,42,0.00000025,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
2,blocked_opt,1,43,0.00000006,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
2,blocked_opt,2,44,0.00000005,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
4,blocked_opt,0,42,0.00000052,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
4,blocked_opt,1,43,0.00000016,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
4,blocked_opt,2,44,0.00000013,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
8,blocked_opt,0,42,0.00000033,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
8,blocked_opt,1,43,0.00000023,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
8,blocked_opt,2,44,0.00000020,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
16,blocked_opt,0,42,0.00000144,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
16,blocked_opt,1,43,0.00000109,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
16,blocked_opt,2,44,0.00000106,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
32,blocked_opt,0,42,0.00000797,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
32,blocked_opt,1,43,0.00000709,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
32,blocked_opt,2,44,0.00000713,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
64,blocked_opt,0,42,0.00005653,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
64,blocked_opt,1,43,0.00005367,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
64,blocked_opt,2,44,0.00005362,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
128,blocked_opt,0,42,0.00054263,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
128,blocked_opt,1,43,0.00059548,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
128,blocked_opt,2,44,0.00054500,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
256,blocked_opt,0,42,0.00501513,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
256,blocked_opt,1,43,0.00412000,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
256,blocked_opt,2,44,0.00439513,64,64,-10,10,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:02","INOVAI-NB-8"
