size,algorithm,run_index,seed,time_s,cutoff,block_size,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
64,strassen,2,44,0.00184440,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
128,strassen,0,42,0.01320389,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
128,strassen,1,43,0.01314752,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
128,strassen,2,44,0.01302664,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
256,strassen,0,42,0.10481056,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
256,strassen,1,43,0.09918264,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
256,strassen,2,44,0.10520570,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
2,blocked,0,42,0.00000057,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
2,blocked,1,43,0.00000008,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
2,blocked,2,44,0.00000006,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
4,blocked,0,42,0.00000027,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
4,blocked,1,43,0.00000013,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
4,blocked,2,44,0.00000011,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
8,blocked,0,42,0.00000045,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
8,blocked,1,43,0.00000035,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
8,blocked,2,44,0.00000033,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
16,blocked,0,42,0.00000249,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
16,blocked,1,43,0.00000230,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
16,blocked,2,44,0.00000214,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
32,blocked,0,42,0.00001763,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
32,blocked,1,43,0.00003330,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
32,blocked,2,44,0.00103697,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
64,blocked,0,42,0.00011719,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
64,blocked,1,43,0.00020594,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
64,blocked,2,44,0.00015320,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
128,blocked,0,42,0.00189782,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
128,blocked,1,43,0.00132786,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
128,blocked,2,44,0.00139105,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
256,blocked,0,42,0.01510600,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
256,blocked,1,43,0.01541777,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
256,blocked,2,44,0.01028050,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
2,blocked_opt,0,42,0.00000050,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
2,blocked_opt,1,43,0.00000007,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
2,blocked_opt,2,44,0.00000006,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
4,blocked_opt,0,42,0.00000052,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
4,blocked_opt,1,43,0.00000015,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
4,blocked_opt,2,44,0.00000013,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
8,blocked_opt,0,42,0.00000027,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
8,blocked_opt,1,43,0.00000021,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
8,blocked_opt,2,44,0.00000020,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
16,blocked_opt,0,42,0.00000145,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
16,blocked_opt,1,43,0.00000102,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
16,blocked_opt,2,44,0.00000097,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
32,blocked_opt,0,42,0.00000799,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
32,blocked_opt,1,43,0.00000666,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
32,blocked_opt,2,44,0.00000667,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
64,blocked_opt,0,42,0.00005400,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
64,blocked_opt,1,43,0.00005017,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
64,blocked_opt,2,44,0.00005013,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
128,blocked_opt,0,42,0.00051954,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
128,blocked_opt,1,43,0.00053036,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
128,blocked_opt,2,44,0.00052973,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
256,blocked_opt,0,42,0.00567575,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
256,blocked_opt,1,43,0.00684081,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
256,blocked_opt,2,44,0.00467613,64,64,-1000,1000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 15:36:03","INOVAI-NB-8"
