size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
9000,não simultaneo,random,2,44,0.000000442,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
9000,simultaneo,random,2,44,0.000001817,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
9000,não simultaneo,random,3,45,0.000000453,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
9000,simultaneo,random,3,45,0.000001812,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
9000,não simultaneo,random,4,46,0.000000450,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
9000,simultaneo,random,4,46,0.000001823,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
10000,não simultaneo,random,0,42,0.000000587,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
10000,simultaneo,random,0,42,0.000002028,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
10000,não simultaneo,random,1,43,0.000000500,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
10000,simultaneo,random,1,43,0.000002025,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
10000,não simultaneo,random,2,44,0.000000542,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
10000,simultaneo,random,2,44,0.000002027,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
10000,não simultaneo,random,3,45,0.000000491,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
10000,simultaneo,random,3,45,0.000002023,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
10000,não simultaneo,random,4,46,0.000000490,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
10000,simultaneo,random,4,46,0.000002016,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
20000,não simultaneo,random,0,42,0.000001362,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
20000,simultaneo,random,0,42,0.000004021,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
20000,não simultaneo,random,1,43,0.000001411,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
20000,simultaneo,random,1,43,0.000004035,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
20000,não simultaneo,random,2,44,0.000001410,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
20000,simultaneo,random,2,44,0.000004021,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
20000,não simultaneo,random,3,45,0.000001400,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
20000,simultaneo,random,3,45,0.000004015,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
20000,não simultaneo,random,4,46,0.000001384,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
20000,simultaneo,random,4,46,0.000004019,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
30000,não simultaneo,random,0,42,0.000001938,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
30000,simultaneo,random,0,42,0.000006028,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
30000,não simultaneo,random,1,43,0.000002053,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
30000,simultaneo,random,1,43,0.000006033,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
30000,não simultaneo,random,2,44,0.000001989,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
30000,simultaneo,random,2,44,0.000006018,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
30000,não simultaneo,random,3,45,0.000001960,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
30000,simultaneo,random,3,45,0.000006016,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
30000,não simultaneo,random,4,46,0.000001992,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
30000,simultaneo,random,4,46,0.000006034,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
40000,não simultaneo,random,0,42,0.000002551,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
40000,simultaneo,random,0,42,0.000008025,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
40000,não simultaneo,random,1,43,0.000002652,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
40000,simultaneo,random,1,43,0.000008033,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 15:41:41"
