size,data_structure,operation,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
35000,vector,push_back,2,44,0.00008348,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
40000,vector,push_back,0,42,0.00012811,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
40000,vector,push_back,1,43,0.00008923,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
40000,vector,push_back,2,44,0.00009021,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
45000,vector,push_back,0,42,0.00010157,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
45000,vector,push_back,1,43,0.00009394,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
45000,vector,push_back,2,44,0.00009376,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
50000,vector,push_back,0,42,0.00011296,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
50000,vector,push_back,1,43,0.00016848,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
50000,vector,push_back,2,44,0.00011098,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
55000,vector,push_back,0,42,0.00013336,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
55000,vector,push_back,1,43,0.00012211,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
55000,vector,push_back,2,44,0.00011543,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
60000,vector,push_back,0,42,0.00012776,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
60000,vector,push_back,1,43,0.00011715,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
60000,vector,push_back,2,44,0.00012275,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
65000,vector,push_back,0,42,0.00013587,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
65000,vector,push_back,1,43,0.00013200,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
65000,vector,push_back,2,44,0.00012385,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 13:19:13","INOVAI-NB-8"
