size,data_structure,operation,run_index,seed,time_s,min_val,max_val,cpu_model,cpu_cores,compiler_version,os_info,timestamp,hostname
3000,vector,push_back,0,42,0.00001073,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
3000,vector,push_back,1,43,0.00000270,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
3000,vector,push_back,2,44,0.00000234,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
4000,vector,push_back,0,42,0.00000656,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
4000,vector,push_back,1,43,0.00000296,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
4000,vector,push_back,2,44,0.00000716,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
5000,vector,push_back,0,42,0.00001387,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
5000,vector,push_back,1,43,0.00000449,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
5000,vector,push_back,2,44,0.00000412,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
6000,vector,push_back,0,42,0.00000802,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
6000,vector,push_back,1,43,0.00000453,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
6000,vector,push_back,2,44,0.00000442,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
7000,vector,push_back,0,42,0.00000634,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
7000,vector,push_back,1,43,0.00000526,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
7000,vector,push_back,2,44,0.00000506,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
8000,vector,push_back,0,42,0.00000674,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
8000,vector,push_back,1,43,0.00000601,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
8000,vector,push_back,2,44,0.00000566,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
9000,vector,push_back,0,42,0.00002091,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
9000,vector,push_back,1,43,0.00000905,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
9000,vector,push_back,2,44,0.00000826,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
10000,vector,push_back,0,42,0.00001099,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
10000,vector,push_back,1,43,0.00000996,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
10000,vector,push_back,2,44,0.00001042,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
20000,vector,push_back,0,42,0.00005789,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
20000,vector,push_back,1,43,0.00002972,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
20000,vector,push_back,2,44,0.00004036,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
30000,vector,push_back,0,42,0.00006043,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
30000,vector,push_back,1,43,0.00006067,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
30000,vector,push_back,2,44,0.00004125,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
40000,vector,push_back,0,42,0.00010591,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
40000,vector,push_back,1,43,0.00005913,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
40000,vector,push_back,2,44,0.00007858,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
50000,vector,push_back,0,42,0.00011075,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
50000,vector,push_back,1,43,0.00009345,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
50000,vector,push_back,2,44,0.00009604,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
60000,vector,push_back,0,42,0.00012317,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
60000,vector,push_back,1,43,0.00010815,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
60000,vector,push_back,2,44,0.00010706,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
70000,vector,push_back,0,42,0.00022286,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
70000,vector,push_back,1,43,0.00020540,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
70000,vector,push_back,2,44,0.00022889,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
80000,vector,push_back,0,42,0.00022378,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
80000,vector,push_back,1,43,0.00019845,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
80000,vector,push_back,2,44,0.00019908,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
90000,vector,push_back,0,42,0.00033020,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
90000,vector,push_back,1,43,0.00025990,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
90000,vector,push_back,2,44,0.00021421,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
100000,vector,push_back,0,42,0.00023187,0,100000,"Unknown",22,"GCC 13.3.0","Linux 6.6.87.2-microsoft-standard-WSL2","2025-09-19 14:54:30","INOVAI-NB-8"
