size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
7000000,simultaneous,random,0,42,0.004578173,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
8000000,separate,random,0,42,0.002443697,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
8000000,simultaneous,random,0,42,0.005329466,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
9000000,separate,random,0,42,0.003670105,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
9000000,simultaneous,random,0,42,0.008127595,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
10000000,separate,random,0,42,0.003172372,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
10000000,simultaneous,random,0,42,0.007062471,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
11000000,separate,random,0,42,0.003462481,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
11000000,simultaneous,random,0,42,0.007407265,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
12000000,separate,random,0,42,0.004335399,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
12000000,simultaneous,random,0,42,0.007224232,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
13000000,separate,random,0,42,0.004024222,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
13000000,simultaneous,random,0,42,0.009002286,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
14000000,separate,random,0,42,0.004288328,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
14000000,simultaneous,random,0,42,0.009290342,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
15000000,separate,random,0,42,0.004463877,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
15000000,simultaneous,random,0,42,0.009764113,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
16000000,separate,random,0,42,0.005077351,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
16000000,simultaneous,random,0,42,0.010847074,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
17000000,separate,random,0,42,0.005282362,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
17000000,simultaneous,random,0,42,0.011764384,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
18000000,separate,random,0,42,0.005781272,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
18000000,simultaneous,random,0,42,0.012517622,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
19000000,separate,random,0,42,0.005771065,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
19000000,simultaneous,random,0,42,0.013795408,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
20000000,separate,random,0,42,0.006223130,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
20000000,simultaneous,random,0,42,0.013707216,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
21000000,separate,random,0,42,0.006369076,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
21000000,simultaneous,random,0,42,0.014593322,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
22000000,separate,random,0,42,0.006951422,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
22000000,simultaneous,random,0,42,0.014475868,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
23000000,separate,random,0,42,0.007304645,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
23000000,simultaneous,random,0,42,0.015007665,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
24000000,separate,random,0,42,0.008679364,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
24000000,simultaneous,random,0,42,0.016047722,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
25000000,separate,random,0,42,0.008499525,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
25000000,simultaneous,random,0,42,0.017465673,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
26000000,separate,random,0,42,0.007930639,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
26000000,simultaneous,random,0,42,0.017620791,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
27000000,separate,random,0,42,0.008304503,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
27000000,simultaneous,random,0,42,0.017842601,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
28000000,separate,random,0,42,0.008376030,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
28000000,simultaneous,random,0,42,0.021461423,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
29000000,separate,random,0,42,0.010143853,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
29000000,simultaneous,random,0,42,0.023975672,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
30000000,separate,random,0,42,0.009044964,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
30000000,simultaneous,random,0,42,0.019435902,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
31000000,separate,random,0,42,0.010337314,0,"","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 11:47:47"
